Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
          Secwepemctsin (Shuswap),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Non-Indigenous languages,1162395,53505,47635,51180,29120,50580,53495,53325,39440,39710,48255,33605,34775,45700,28775,38805,43915,67815,73615,27440,41920,54220,64045,58940,44600,37965
        Afro-Asiatic languages,71580,8775,2670,2340,1795,4565,2300,4570,2390,1420,3080,1865,2120,4360,1235,2090,4410,2985,2005,2020,3575,4185,2490,1085,1965,1320
          Berber languages,105,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
            Kabyle,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tamazight,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Chadic languages,190,40,10,0,10,0,0,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
            Hausa,180,40,10,0,10,0,0,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
            Mina,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Coptic,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
          Cushitic languages,12495,3205,1105,435,215,2465,155,1165,335,175,145,45,115,670,110,95,360,165,70,110,420,255,265,90,210,120
            Bilen,100,0,0,0,0,10,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oromo,1070,50,45,25,10,150,35,45,70,15,20,0,20,95,20,0,45,0,35,35,155,80,25,0,15,35
            Somali,11235,3155,1060,410,195,2305,120,1045,265,155,125,30,95,560,85,60,315,160,35,65,245,160,240,90,185,85
"            Cushitic languages, n.i.e.",90,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
          Semitic languages,58740,5525,1555,1900,1565,2075,2140,3385,2050,1235,2870,1815,1995,3680,1130,1970,4040,2815,1930,1910,3150,3920,2210,965,1740,1185
            Amharic,7505,135,280,230,305,395,90,175,120,305,425,130,220,715,195,120,385,85,35,655,1110,470,45,105,435,335
            Arabic,32900,1770,880,1370,655,610,775,1090,400,500,2110,1280,900,2210,595,1380,3215,2520,1465,590,1050,3045,2005,775,1015,685
            Aramaic languages,5710,3335,100,60,15,35,105,1680,45,0,30,10,15,15,0,30,25,20,10,0,0,50,95,0,0,0
              Assyrian Neo-Aramaic,4560,2690,55,45,15,25,85,1355,30,0,25,10,15,10,0,30,15,15,0,0,0,30,85,0,0,0
              Chaldean Neo-Aramaic,1005,580,40,15,0,0,20,285,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Aramaic, n.o.s.",150,65,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
            Harari,725,20,0,0,0,15,0,0,0,0,25,0,0,100,20,0,65,0,0,20,175,95,15,0,35,60
            Hebrew,4350,0,10,70,85,0,910,0,1215,130,165,265,480,100,65,185,15,110,395,115,0,0,0,0,0,10
            Maltese,1095,105,205,95,245,175,10,30,25,30,0,20,15,10,10,0,15,30,0,20,15,10,0,0,15,0
            Tigrigna,6330,155,80,65,245,830,245,400,215,270,105,100,355,500,240,210,315,55,25,505,780,235,40,50,225,80
"            Semitic languages, n.i.e.",125,0,0,0,0,0,0,0,0,0,0,0,0,25,0,40,0,0,0,0,10,0,0,0,0,0
        Austro-Asiatic languages,29225,1285,645,845,1065,3855,2385,7550,940,1705,1055,585,515,1075,1155,155,255,535,675,215,490,445,565,555,335,345
          Khmer (Cambodian),1185,40,0,10,0,75,100,600,10,35,40,20,30,35,40,0,0,20,10,0,15,50,20,0,0,0
          Vietnamese,27990,1225,635,830,1060,3765,2285,6950,925,1665,1020,560,485,1035,1115,155,255,515,660,210,475,400,545,545,320,345
"          Austro-Asiatic languages, n.i.e",50,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austronesian languages,103625,3430,2080,2675,1540,4750,13300,5820,8045,1675,1530,840,3025,3415,1365,2115,4270,3575,4905,2000,5320,9185,4115,4055,5480,5110
          Bikol,380,0,0,10,0,10,30,20,40,0,0,0,0,30,0,0,0,15,0,0,0,60,0,25,15,35
"          Bisaya, n.o.s.",1250,50,75,10,25,45,150,100,170,15,55,15,45,25,0,10,40,50,50,20,65,135,15,10,55,25
          Cebuano,2610,130,60,85,50,110,350,125,215,30,15,15,95,85,20,40,45,120,145,60,115,340,75,105,100,85
          Fijian,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Hiligaynon,2255,20,95,35,35,165,250,145,230,40,0,10,100,90,45,35,100,80,130,65,115,185,80,75,90,45
          Ilocano,9225,305,75,160,110,615,1745,710,835,140,30,10,310,345,65,105,330,275,680,190,415,710,245,290,285,240
          Indonesian,1945,30,55,160,30,20,15,10,40,30,165,85,35,165,60,65,30,170,245,35,50,100,135,115,40,45
          Kankanaey,260,40,0,0,0,20,105,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
          Kinaray-a,130,0,0,0,0,0,25,0,0,0,0,0,0,10,0,0,20,0,0,0,15,20,0,0,0,0
          Malagasy languages,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
            Merina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Malagasy, n.o.s.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malay,210,0,0,0,0,0,0,0,10,0,30,15,0,25,10,0,40,10,0,10,0,10,0,0,10,15
"          Pampangan (Kapampangan, Pampango)",850,15,25,20,0,45,85,75,85,0,0,15,15,0,0,10,50,10,20,15,40,85,15,75,65,70
          Pangasinan,380,0,10,0,0,50,55,10,60,0,0,0,0,0,0,0,25,0,0,0,25,15,15,30,35,25
"          Tagalog (Pilipino, Filipino)",83095,2745,1670,2150,1280,3620,10340,4520,6305,1390,1220,670,2390,2585,1110,1810,3505,2785,3560,1560,4430,7495,3470,3305,4710,4475
          Waray-Waray,325,20,20,0,0,20,60,0,25,0,0,15,0,15,30,0,20,0,0,0,10,10,20,0,10,0
"          Austronesian languages, n.i.e.",680,65,0,15,0,25,95,55,25,10,0,0,10,30,20,25,45,40,30,0,20,25,35,15,50,40
        Creole languages,2460,290,65,70,35,160,105,190,40,55,90,40,65,45,15,80,60,85,30,50,60,145,80,50,375,165
          Haitian Creole,660,70,30,10,0,15,0,30,0,15,0,0,15,0,0,10,0,15,0,0,15,55,20,0,240,75
          Jamaican English Creole,100,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,15,0,15,0,0,0,0,0,0
          Krio,90,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Morisyen,605,120,0,10,0,0,35,0,0,0,45,20,10,10,0,10,0,50,20,15,0,70,45,20,40,15
          Sango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Creole, n.o.s.",665,55,15,40,0,75,10,130,0,15,25,10,30,25,10,40,20,0,10,0,20,15,0,0,70,25
"          Creole languages, n.i.e.",340,30,0,10,10,50,35,10,30,15,0,0,10,0,0,0,0,0,0,10,0,0,15,15,20,45
        Dravidian languages,69105,2755,675,1080,650,900,535,2015,465,370,1190,500,970,2360,320,690,1855,2790,1030,920,4050,8770,4705,8570,9285,11655
          Kannada,1120,55,50,90,0,25,10,40,15,0,100,25,75,155,0,35,70,105,45,0,50,45,30,30,45,15
          Malayalam,7340,370,160,240,90,125,110,120,50,30,170,140,180,195,50,80,175,495,265,155,370,795,550,350,1355,720
          Tamil,53550,2115,350,440,455,720,375,1705,280,290,610,200,430,1595,205,440,1190,1365,455,495,2985,7215,3625,7960,7315,10745
          Telugu,6925,215,120,295,90,35,45,145,110,45,285,135,290,400,50,150,425,820,230,270,635,710,495,210,555,175
          Tulu,115,0,0,10,0,0,0,0,10,0,15,0,0,0,10,0,0,0,25,0,0,0,0,15,10,0
"          Dravidian languages, n.i.e.",55,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0
        Georgian,1050,0,10,30,20,10,525,0,15,0,30,15,50,10,0,30,15,0,240,0,10,30,0,0,0,0
        Hmong-Mien languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Indo-European languages,570665,32000,35330,34525,18260,31490,27200,25510,21230,28655,23050,15390,20700,18945,14725,22595,24530,25640,29045,16900,22100,22070,13135,10880,21930,14835
          Albanian,9015,220,1660,1040,155,280,315,145,1035,130,170,165,370,200,490,385,560,225,155,385,225,410,105,0,155,45
          Armenian,7330,85,110,75,25,20,260,120,150,60,130,70,185,130,65,245,730,1200,300,50,60,375,2510,190,105,70
          Balto-Slavic languages,105870,2340,15175,15595,8550,2295,8895,1290,3915,2085,4745,2760,3895,3570,2885,3325,4115,3180,6485,2495,1795,1875,1000,375,1665,1560
            Baltic languages,2705,40,460,430,475,75,75,20,60,45,110,85,85,60,100,110,115,80,75,60,25,25,25,10,20,20
              Latvian,1150,10,110,85,150,20,45,0,30,15,50,35,55,45,75,80,85,70,50,40,20,25,20,10,15,20
              Lithuanian,1555,40,350,345,320,55,30,15,35,35,65,50,30,20,20,30,30,10,25,25,10,0,0,0,10,0
            Slavic languages,103165,2300,14715,15170,8075,2215,8815,1270,3855,2035,4635,2675,3810,3510,2785,3215,4000,3095,6410,2435,1770,1845,980,365,1640,1540
              Belarusian,160,0,0,35,20,0,15,0,15,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
              Bulgarian,3850,45,355,245,200,60,250,45,115,75,155,115,120,115,275,160,470,140,145,290,165,175,40,0,100,0
              Czech,2405,40,200,225,300,55,65,90,75,75,100,75,75,90,105,90,110,65,60,90,25,60,15,10,165,160
              Macedonian,5010,25,390,135,30,90,60,60,115,15,95,65,95,80,345,150,250,190,120,360,430,655,275,100,465,415
              Polish,21040,960,3145,4985,2820,795,590,255,405,620,755,380,545,610,400,410,460,310,285,310,455,385,205,85,365,515
              Russian,33780,260,1570,2895,1515,290,7045,490,1855,550,2240,1080,1565,1540,545,1155,860,1670,4900,510,310,210,210,85,280,140
              Rusyn,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Serbo-Croatian,19455,610,4545,2525,1610,485,375,130,840,320,730,500,975,665,920,835,850,465,440,705,260,225,110,40,135,160
                Bosnian,1470,40,350,150,155,15,35,0,70,50,65,30,55,35,60,40,55,0,10,120,50,25,0,0,20,20
                Croatian,4625,430,1040,580,425,270,120,80,120,130,150,145,185,95,130,85,110,60,65,140,40,55,40,20,40,55
                Serbian,12980,130,3120,1715,980,200,210,35,630,135,510,315,715,500,710,690,685,395,335,430,160,145,75,25,65,85
"                Serbo-Croatian, n.i.e.",380,0,40,80,45,0,0,0,15,0,0,0,15,25,25,15,0,0,25,0,0,0,0,0,10,0
              Slovak,2800,35,185,405,120,45,45,25,80,45,110,75,60,85,60,240,850,85,75,55,0,30,15,0,40,20
              Slovene (Slovenian),1335,90,215,320,80,55,0,15,60,40,25,40,40,0,25,35,25,45,50,20,20,40,45,10,15,45
              Ukrainian,13255,230,4085,3395,1375,330,375,160,285,285,425,340,330,320,105,135,115,125,325,105,110,60,60,40,80,70
"              Slavic languages, n.i.e.",50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Celtic languages,190,0,0,25,10,0,0,0,0,25,25,15,30,10,10,10,0,0,10,0,0,0,0,0,0,0
            Irish,125,0,0,20,10,0,0,0,0,25,15,15,10,10,0,0,0,0,10,0,0,0,0,0,0,0
            Scottish Gaelic,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
            Welsh,35,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"            Celtic languages, n.i.e.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Germanic languages,17345,295,1070,1180,1215,350,645,195,1235,445,1055,1175,1185,660,810,895,525,595,710,905,450,445,205,140,530,425
            Frisian,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            High German languages,12805,195,815,955,925,265,570,135,1065,335,575,790,835,465,530,665,385,480,490,605,330,365,145,125,450,305
              German,10585,190,795,915,875,260,190,125,420,310,530,655,540,450,495,555,365,345,290,600,305,350,135,125,445,305
              Pennsylvania German,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Swiss German,410,15,25,35,30,0,0,10,30,15,30,35,70,15,20,10,10,0,10,0,20,10,0,0,0,0
              Yiddish,1800,0,0,0,20,0,375,0,615,10,15,105,230,0,0,95,15,130,185,0,0,0,0,0,0,0
            Low Saxon-Low Franconian languages,3085,60,180,185,195,55,70,45,135,60,300,255,200,150,180,155,110,80,150,185,75,55,55,15,65,85
              Afrikaans,515,15,30,35,0,0,0,0,25,10,80,30,30,55,30,50,10,10,35,25,0,0,15,0,0,10
              Dutch,2425,45,145,145,175,45,55,40,115,45,195,225,165,85,140,100,85,65,115,150,70,45,40,10,60,70
"              Low German, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Low Saxon,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Plautdietsch,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Vlaams (Flemish),110,0,0,0,10,10,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
            Scandinavian languages,1365,30,75,30,90,30,10,15,30,45,175,125,140,45,100,70,20,35,65,105,40,30,10,0,15,30
              Danish,550,20,45,20,40,10,0,10,10,0,40,20,70,10,50,35,10,25,20,50,15,25,10,0,10,20
              Icelandic,55,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
              Norwegian,195,0,0,0,10,0,0,10,10,10,25,30,0,10,10,0,0,0,25,10,0,0,0,0,0,10
              Swedish,570,0,30,0,40,20,0,0,0,30,100,70,70,20,35,25,10,15,15,30,25,0,0,0,0,0
"            Germanic languages, n.i.e.",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
          Greek,23915,250,750,540,600,435,550,200,810,675,380,670,905,255,4020,935,1900,1280,505,1745,1100,2445,1450,465,655,400
          Indo-Iranian languages,207340,19445,3870,5440,1895,2945,3690,7820,2625,2040,8495,3350,4255,8155,2780,12390,12455,13720,15720,7230,15050,13435,5470,8345,16580,10145
            Indo-Aryan languages,149295,18250,2890,3955,1435,2565,1705,7145,1325,1590,6260,2005,2175,6210,2240,6985,7640,5435,3360,6185,13540,11010,4290,7680,14415,9010
              Assamese,125,0,0,35,10,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,30,0,0,0,0,0
              Bengali,30290,685,335,470,265,450,245,660,140,400,710,250,235,1800,260,415,1280,635,550,3150,8390,2880,490,785,2705,2090
              Gujarati,26945,4815,365,860,105,670,300,1220,140,110,495,250,180,350,530,705,1785,1060,365,280,250,2010,925,2275,5475,1435
              Hindi,21905,1965,560,1025,385,375,260,560,365,300,2400,590,910,1485,310,500,1030,1420,1185,410,750,1390,780,740,1300,895
              Kacchi,1710,55,0,40,10,0,0,0,25,0,40,25,35,35,20,165,595,110,20,160,30,30,140,75,15,40
              Kashmiri,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Konkani,670,30,40,15,0,0,15,10,0,0,20,0,65,30,0,0,25,80,30,0,25,55,45,25,25,75
              Marathi,3210,170,15,165,75,45,100,20,95,10,335,65,220,315,40,135,70,290,215,135,100,135,145,70,185,80
              Nepali,3195,60,80,100,90,35,100,50,20,40,50,20,25,250,30,0,65,30,130,160,665,725,30,50,295,80
              Oriya languages,600,0,0,0,0,0,0,0,0,0,40,0,20,160,0,0,20,25,35,35,25,75,35,20,0,60
                Odia,385,0,0,0,0,0,0,0,0,0,20,0,0,110,0,0,20,20,30,20,25,65,30,20,0,0
"                Oriya, n.o.s.",220,0,0,0,0,0,0,0,0,0,25,0,15,50,0,0,0,0,0,0,0,10,0,0,0,60
              Punjabi (Panjabi),20375,7235,410,575,195,320,305,2045,245,330,660,185,155,395,235,395,250,435,155,425,685,815,450,1065,920,1480
              Rohingya,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Sindhi,510,20,20,25,0,0,25,0,0,0,60,0,15,25,0,45,60,20,20,0,50,20,15,15,0,20
              Sinhala (Sinhalese),3350,330,105,65,35,65,65,150,60,85,100,10,70,80,35,90,130,225,40,70,120,345,155,125,360,435
              Urdu,35710,2775,925,555,250,605,280,2330,200,275,1315,590,220,1220,755,4465,2280,1060,590,1320,2370,2500,1060,2410,3110,2250
"              Indo-Aryan languages, n.i.e.",570,90,25,30,0,0,0,45,0,0,20,0,15,55,0,20,20,40,20,15,40,40,20,0,15,50
            Iranian languages,57995,1200,975,1480,460,370,1970,675,1295,450,2245,1345,2075,1940,545,5400,4810,8295,12355,1045,1510,2415,1175,670,2170,1135
              Baluchi,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
              Kurdish,2110,40,55,75,0,55,195,35,15,75,30,30,65,30,25,90,335,190,170,95,145,170,85,15,60,35
              Parsi,120,10,0,0,0,0,35,0,0,0,0,0,10,0,0,15,0,10,20,0,0,0,0,0,0,0
              Pashto,4710,125,120,20,10,15,95,170,45,20,95,15,20,95,30,1370,745,115,35,75,205,450,80,210,360,190
              Persian languages,50735,1025,795,1385,435,305,1570,430,1235,360,2105,1300,1965,1805,490,3895,3725,7955,12130,870,1160,1765,1010,410,1725,900
                Dari,10760,635,215,165,30,100,310,255,145,25,120,25,40,230,135,735,1720,765,180,305,680,1210,425,295,1335,690
                Iranian Persian,35605,150,525,1045,365,160,1120,100,1025,300,1700,1185,1765,1360,305,2945,1595,6600,11080,465,335,495,520,105,215,145
"                Persian (Farsi), n.o.s.",4365,245,55,175,35,45,150,75,65,30,290,90,150,225,45,210,415,590,865,100,135,65,65,0,180,60
"              Iranian languages, n.i.e.",230,0,0,0,0,0,75,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0
"            Indo-Iranian languages, n.i.e.",55,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Italic (Romance) languages,199625,9365,12685,10635,5815,25175,12835,15725,11465,23195,8045,7195,9880,5965,3670,4405,4245,5420,5150,4085,3400,3080,2390,1360,2240,2195
            Catalan,115,0,0,0,30,0,0,0,0,0,10,15,0,0,25,0,0,0,0,10,0,0,0,0,0,0
            Italian,50830,3135,4860,2630,945,5550,5680,6275,3700,3555,700,1645,1585,520,1080,710,360,855,1250,1045,1110,910,970,355,645,760
            Portuguese,60175,1280,3205,3495,2105,11270,1605,1365,3240,14575,2795,3005,3475,1565,675,1245,570,950,895,755,600,395,290,130,315,380
            Romanian,10120,195,720,545,265,120,485,55,535,145,405,200,470,315,210,630,1185,1310,610,410,235,290,255,95,230,200
            Spanish,78205,4745,3890,3960,2450,8225,5060,7995,3985,4905,4130,2325,4345,3560,1685,1830,2125,2300,2390,1865,1435,1485,870,770,1040,830
"            Italic (Romance) languages, n.i.e.",175,0,15,0,15,15,0,35,0,10,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,10
"          Indo-European languages, n.i.e.",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
        Japanese,6725,55,135,290,330,140,80,30,225,300,520,600,485,610,380,255,295,395,685,220,230,125,90,70,120,70
        Korean,32715,395,1565,1815,410,285,1435,450,835,565,1865,1615,1520,2020,410,1145,1065,3490,9660,440,305,370,525,170,185,160
        Mongolian,380,0,55,100,20,0,30,0,20,0,0,0,0,10,0,0,0,0,40,15,0,0,0,0,0,0
        Niger-Congo languages,14230,2390,365,340,240,1370,485,2680,305,230,280,125,160,600,245,160,530,280,165,315,720,535,335,255,620,505
          Akan (Twi),3745,1010,140,55,25,380,220,1045,65,25,10,0,35,60,10,20,40,25,20,25,110,25,35,60,160,135
          Bamanankan,55,0,0,0,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
          Edo,490,100,0,10,0,45,45,170,0,0,0,0,15,0,0,0,0,0,0,0,30,20,15,0,20,10
          Éwé,180,60,0,0,0,0,0,25,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,10,10
"          Fulah (Pular, Pulaar, Fulfulde)",120,0,0,0,0,35,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ga,205,35,0,10,0,35,0,10,0,0,0,0,0,0,0,0,15,0,0,0,15,15,0,0,10,20
          Ganda,655,50,20,30,20,105,20,40,0,30,30,20,0,60,20,20,20,30,0,10,55,20,0,15,0,0
          Gikuyu,80,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
          Igbo,735,110,10,30,0,75,25,135,30,0,10,0,0,0,25,0,30,20,15,10,55,45,10,15,35,35
          Kinyarwanda (Rwanda),405,0,0,0,0,15,0,25,0,0,50,0,0,55,15,30,10,0,0,30,15,55,20,0,25,0
          Lingala,195,0,0,10,0,15,0,0,0,0,0,0,0,20,0,10,25,0,0,0,35,0,0,10,15,30
          Luba-Kasai,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mòoré,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mwani,85,20,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0
          Ndebele,80,0,0,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0
          Rundi (Kirundi),315,0,0,0,0,0,0,0,10,10,0,0,0,50,0,0,20,25,0,15,45,35,30,0,15,0
          Shona,300,20,15,10,0,45,0,0,0,0,15,0,15,0,10,0,60,0,0,15,10,0,0,0,0,25
          Soninke,180,0,0,0,0,35,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Sotho-Tswana languages,120,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
          Swahili,2250,315,35,70,35,170,15,310,85,20,70,35,20,165,65,35,175,35,50,80,105,140,70,25,60,50
          Wojenaka,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Wolof,160,0,0,0,0,0,0,25,0,0,10,10,0,0,0,0,0,15,0,0,15,0,0,0,0,0
          Yoruba,2560,440,70,50,0,245,75,705,10,10,10,0,15,60,25,30,60,70,25,45,160,115,45,50,130,105
"          Niger-Congo languages, n.i.e.",1265,155,55,30,90,125,25,105,25,40,20,10,25,25,40,10,65,25,25,40,50,15,80,35,75,60
        Nilo-Saharan languages,280,0,0,25,0,25,10,20,0,0,10,15,0,35,10,0,0,0,10,10,15,20,10,0,50,0
          Dinka,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",190,0,0,15,0,10,0,15,0,0,10,10,0,25,0,0,0,0,10,10,15,0,0,0,35,0
"          African, n.o.s.",45,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
        Sign languages,415,20,20,20,15,10,10,25,15,20,10,15,10,15,35,10,0,0,0,20,25,0,50,35,35,10
          American Sign Language,335,20,20,20,10,0,10,25,10,10,10,10,10,15,35,10,0,0,0,15,10,0,35,25,20,0
          Quebec Sign Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Sign languages, n.i.e.",85,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0
