Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
        Afro-Asiatic languages,64700,9405,2200,1925,1805,4150,2430,4045,2000,1195,2440,2035,1720,3790,975,1880,3745,2785,2420,1545,2685,3000,2570,925,1830,1190
          Berber languages,105,10,10,0,0,0,0,0,10,0,0,0,0,20,0,0,10,0,10,10,0,15,0,0,0,0
            Kabyle,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"            Berber languages, n.i.e.",85,0,10,0,10,0,0,0,0,10,0,0,0,20,0,0,10,0,0,10,0,20,0,0,0,0
          Cushitic languages,12140,3375,805,510,120,2385,145,900,310,175,205,30,110,725,215,50,325,105,45,125,395,250,230,100,285,205
            Bilen,60,0,0,0,0,15,0,35,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
            Oromo,900,10,35,60,40,130,30,55,100,10,25,0,40,120,10,30,45,0,10,25,50,35,0,0,25,10
            Somali,11120,3355,770,450,80,2240,115,810,215,165,190,20,65,575,205,20,275,105,40,105,340,205,220,80,265,195
"            Cushitic languages, n.i.e.",50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,20,0,0
          Semitic languages,52210,5870,1390,1415,1675,1755,2285,3125,1680,1015,2220,2005,1605,3020,755,1835,3420,2680,2370,1405,2295,2735,2345,820,1530,975
            Amharic,6420,180,120,165,410,410,40,75,95,295,220,105,200,940,175,125,235,20,45,455,920,355,85,75,385,285
            Arabic,29520,2025,835,1010,595,570,755,1360,340,335,1665,1445,690,1460,400,1275,2885,2460,1755,565,710,2080,2080,730,960,535
            Assyrian Neo-Aramaic,4795,2920,65,25,10,25,155,1335,0,0,15,0,10,10,15,10,25,15,0,20,10,0,85,0,35,0
            Chaldean Neo-Aramaic,540,375,0,0,0,0,0,140,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
            Harari,605,20,20,0,30,10,0,0,10,0,20,10,0,20,15,0,15,25,0,65,120,140,10,10,30,40
            Hebrew,4525,10,10,60,60,15,1190,0,970,80,170,330,455,150,25,275,30,105,520,40,15,0,10,0,0,10
            Maltese,1385,125,255,125,370,165,15,10,35,40,10,10,30,15,25,0,25,10,10,25,10,20,15,10,20,20
            Tigrigna,4125,140,80,20,190,550,95,165,230,240,75,105,220,405,100,140,190,40,30,225,510,145,50,10,95,80
"            Semitic languages, n.i.e.",305,80,0,10,10,20,30,20,0,20,50,0,10,20,0,0,10,0,10,10,0,0,10,0,0,0
"          Afro-Asiatic languages, n.i.e.",245,145,0,0,0,10,0,20,0,0,10,0,0,30,10,0,0,0,0,0,0,0,0,0,15,15
        Austro-Asiatic languages,25515,1130,425,745,930,3920,1965,7300,680,1695,815,330,445,875,820,160,275,335,350,250,400,460,325,305,285,310
          Khmer (Cambodian),1575,95,0,15,15,85,60,970,0,25,40,10,30,55,50,15,10,20,15,0,10,25,10,0,15,0
          Vietnamese,23930,1035,425,730,915,3830,1910,6330,670,1675,780,315,410,820,770,145,270,315,335,250,390,430,320,300,275,305
"          Austro-Asiatic languages, n.i.e",15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austronesian languages,101365,3050,1895,2630,1685,4535,12030,3840,8440,1655,1345,770,3450,3375,1410,2230,4725,3730,4735,2245,6375,8870,3850,4145,5140,5220
          Bikol,315,0,0,0,10,15,30,0,35,0,10,0,0,10,15,0,55,15,10,10,0,15,15,60,20,15
          Cebuano,3355,115,75,65,75,235,365,235,345,95,30,35,95,70,55,70,140,110,140,95,225,270,130,90,90,100
          Fijian,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Hiligaynon,1780,40,25,40,45,95,285,70,205,35,0,30,65,35,20,30,70,140,125,30,125,95,60,40,45,45
          Ilocano,7440,340,90,160,90,375,1545,425,900,140,25,10,295,230,65,105,275,140,440,140,410,495,155,215,230,150
          Malagasy,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malay,2075,75,70,75,35,30,65,20,40,25,105,120,55,125,25,125,80,205,195,75,35,80,190,160,30,50
"          Pampangan (Kapampangan, Pampango)",650,75,10,15,0,40,45,40,110,0,0,0,10,15,0,10,25,25,20,10,25,45,0,30,40,50
          Pangasinan,320,0,10,10,10,45,70,30,30,0,10,0,10,10,0,0,0,10,10,0,10,30,20,0,15,0
"          Tagalog (Pilipino, Filipino)",84440,2370,1615,2260,1385,3650,9445,2965,6630,1330,1165,580,2870,2875,1195,1865,4040,3070,3760,1810,5520,7800,3235,3540,4670,4795
          Waray-Waray,235,0,0,10,15,15,60,0,40,0,0,0,10,0,0,0,10,10,0,15,10,15,10,0,10,10
"          Austronesian languages, n.i.e.",725,40,10,0,15,40,125,55,110,20,0,0,25,10,25,25,30,10,40,65,10,20,35,10,0,10
        Creole languages,3005,400,65,90,45,205,100,305,65,40,40,60,55,70,20,35,110,85,45,40,195,215,120,105,340,160
          Haitian Creole,170,10,0,10,0,10,0,20,15,10,0,10,0,10,0,10,0,0,0,0,15,35,0,10,10,30
"          Creole, n.o.s.",1950,330,50,35,10,100,60,195,10,20,30,30,20,40,10,20,50,25,35,25,155,125,115,70,295,90
"          Creole languages, n.i.e.",880,70,15,55,35,95,35,90,40,10,15,25,25,25,10,15,55,60,10,10,25,55,10,25,40,40
        Dravidian languages,66705,2635,655,710,595,1095,430,2395,405,350,660,275,510,2190,310,585,1630,1760,885,1055,3670,9065,4910,9755,8505,11675
          Kannada,690,45,30,45,30,10,15,0,15,0,40,15,50,45,25,15,0,55,25,55,10,55,20,10,50,25
          Malayalam,4880,410,95,135,55,130,20,130,40,35,115,65,75,150,35,70,65,285,160,30,305,460,435,230,810,540
          Tamil,56715,1980,490,290,410,950,335,2085,305,290,340,150,240,1715,230,400,1410,970,410,535,3050,8155,4230,9380,7380,10990
          Telugu,4290,190,45,215,95,15,55,175,40,25,160,40,140,280,25,100,150,430,265,430,305,390,225,120,265,105
"          Dravidian languages, n.i.e.",130,0,0,15,0,0,0,0,0,0,10,0,10,10,0,0,0,20,20,0,0,0,0,10,10,20
        Hmong-Mien languages,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
        Indo-European languages,588195,35885,38530,32480,20390,34365,31140,28995,21465,33835,17390,15410,18255,16185,16220,23005,26385,25320,30420,17960,21420,21860,13710,10220,22945,14410
          Albanian,8695,410,1345,1005,180,395,250,175,1110,125,95,105,310,100,525,175,465,245,155,335,315,450,80,10,210,135
          Armenian,8085,145,100,95,40,35,225,150,155,25,125,95,70,140,55,350,1040,1285,350,40,100,545,2510,140,125,145
          Balto-Slavic languages,118520,2575,17300,16645,10500,2485,11190,1500,4445,2130,4230,2750,4170,3600,3250,3670,4335,3670,7410,2920,2285,2125,1200,415,1905,1810
            Baltic languages,3375,55,380,515,770,95,120,20,75,85,110,80,125,65,90,135,165,35,105,125,35,40,35,15,45,60
              Latvian,1500,10,130,85,200,45,65,10,20,25,60,30,90,30,55,105,150,25,90,105,25,35,30,0,40,35
              Lithuanian,1880,40,250,430,570,50,50,10,50,60,55,45,40,35,40,35,20,15,10,20,10,0,0,10,10,25
            Slavic languages,115145,2520,16920,16130,9730,2395,11075,1480,4375,2040,4120,2675,4045,3530,3160,3535,4170,3630,7310,2800,2250,2085,1165,405,1860,1750
              Belarusan,205,0,10,40,15,10,35,0,10,15,10,0,0,0,0,30,0,0,10,0,0,0,15,0,0,0
              Bosnian,1085,20,310,155,25,0,10,10,80,15,75,15,40,35,60,20,40,15,20,90,25,0,35,0,0,0
              Bulgarian,4200,55,465,305,115,115,300,25,120,50,125,130,190,185,355,190,385,235,115,300,155,100,75,25,40,40
              Croatian,5235,525,1000,740,455,260,175,115,115,150,185,120,235,125,110,170,70,120,170,110,75,55,20,15,80,35
              Czech,2810,25,260,245,255,45,160,105,105,75,175,75,110,70,80,55,155,40,75,140,75,125,55,15,175,120
              Macedonian,6015,40,460,95,50,90,40,100,115,40,50,75,105,50,375,230,285,370,125,440,645,770,380,140,475,470
              Polish,25050,940,3950,5735,3515,915,615,395,650,565,960,565,645,695,420,430,530,375,430,470,490,415,170,90,485,600
              Russian,35870,325,1865,2345,1770,370,8860,470,2150,540,1645,835,1575,1540,475,1150,930,1755,5475,525,375,240,240,20,210,180
              Serbian,13505,110,3145,1670,1165,160,300,90,660,110,445,310,670,400,845,620,865,365,360,470,160,240,75,40,120,120
              Serbo-Croatian,1580,55,255,210,200,15,35,10,45,40,55,35,75,45,100,110,50,75,10,75,30,15,0,0,20,20
              Slovak,2925,35,320,375,195,45,70,25,45,65,60,100,50,80,80,325,700,60,50,60,30,10,25,0,85,40
              Slovene (Slovenian),1675,85,300,370,120,35,35,15,70,65,40,80,20,25,60,50,30,75,35,20,25,25,15,35,15,35
              Ukrainian,14750,295,4555,3825,1825,345,440,105,210,310,290,330,310,265,185,155,125,145,405,85,135,85,50,25,135,80
"              Slavic languages, n.i.e.",235,10,15,25,20,0,0,0,10,10,15,10,0,10,20,0,0,0,35,10,20,0,0,0,10,10
          Celtic languages,250,0,0,20,0,10,0,0,10,0,15,25,35,15,20,20,10,10,0,20,0,10,0,10,15,10
            Scottish Gaelic,90,0,0,10,10,10,0,0,0,0,0,10,10,10,0,10,0,10,0,0,0,0,0,10,0,10
            Welsh,75,0,0,0,0,0,0,0,0,10,10,0,15,0,0,10,0,0,0,15,0,0,0,0,0,10
"            Celtic languages, n.i.e.",90,0,0,10,0,0,0,0,10,0,0,15,10,10,10,0,0,0,0,10,0,10,0,0,10,0
          Germanic languages,22145,605,1505,1300,1410,505,865,250,1535,560,980,1195,1405,990,835,1185,800,825,1040,1015,680,615,420,245,775,610
            Afrikaans,360,0,20,15,30,20,15,0,0,10,20,15,20,20,10,30,10,20,45,10,0,15,0,10,0,35
            Danish,630,25,40,55,45,10,10,10,20,15,60,20,55,45,15,10,35,0,0,65,15,15,15,10,20,20
            Dutch,3325,55,245,175,205,85,55,35,120,75,135,200,195,305,155,250,130,115,160,210,130,65,60,25,90,60
            Frisian,40,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,10
            German,14485,500,1145,980,1030,360,305,200,655,355,660,790,780,535,590,695,585,490,515,655,510,500,330,205,660,460
            Icelandic,45,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0
            Norwegian,205,10,0,0,10,0,0,0,20,20,0,15,15,30,20,10,0,10,15,15,10,0,0,0,0,10
            Swedish,665,10,20,40,60,0,0,0,30,55,80,65,45,20,15,35,30,30,10,30,10,30,0,0,0,25
            Vlaams (Flemish),95,0,15,10,15,10,0,0,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0
            Yiddish,2250,10,15,10,15,10,475,10,690,20,10,80,270,30,15,155,10,155,270,15,10,0,0,0,10,0
"            Germanic languages, n.i.e.",50,0,0,15,0,0,0,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0
          Greek,27905,310,885,505,660,470,890,225,820,995,460,780,1090,325,4700,970,2045,1535,600,2155,1365,2890,1595,315,865,445
          Indo-Iranian languages,195845,22070,4025,3135,1805,3145,3305,8460,1965,2100,4870,2715,2645,6720,3365,12970,13020,12625,15620,7565,13670,11710,5360,7905,16395,8675
            Indo-Aryan languages,139510,20405,3070,2405,1210,2690,1530,7410,835,1630,3240,1525,1205,5290,2670,8430,8150,4535,2425,6505,12090,8925,4210,7400,14220,7520
              Bengali,28560,1025,320,390,170,425,245,480,95,460,425,220,225,2025,330,650,1365,645,340,3530,8060,2045,465,525,2670,1445
              Gujarati,26445,4860,290,570,115,850,305,945,165,105,260,175,65,285,730,940,1920,935,275,405,310,1940,890,2125,5665,1325
              Hindi,15505,1785,490,475,275,340,220,710,180,225,1055,435,395,875,370,415,815,845,730,255,505,1130,480,670,980,850
              Kashmiri,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
              Konkani,680,65,35,10,10,25,0,10,0,20,20,10,0,30,30,20,10,45,25,0,25,40,80,50,35,70
              Marathi,1805,150,65,40,85,15,30,15,25,15,60,35,85,165,30,45,55,245,140,40,40,85,85,75,115,60
              Nepali,2635,55,10,45,85,50,55,60,10,10,30,20,20,650,70,50,115,50,25,215,330,330,55,40,230,40
              Oriya (Odia),290,0,0,0,15,0,0,0,10,0,10,0,15,35,0,10,15,25,20,40,30,0,25,0,10,10
              Punjabi (Panjabi),20485,9020,445,320,170,345,280,2300,150,390,490,150,125,330,295,440,265,390,165,240,375,410,250,985,680,1480
              Sindhi,2640,95,25,30,10,25,20,30,10,25,90,40,10,30,30,325,580,180,95,220,170,165,140,95,115,90
              Sinhala (Sinhalese),3475,330,225,65,25,40,85,105,20,35,55,15,55,90,40,70,130,225,25,40,200,265,265,275,460,335
              Urdu,36950,3030,1155,465,250,570,280,2760,175,335,745,420,210,780,750,5455,2890,940,585,1510,2045,2510,1470,2545,3255,1820
            Iranian languages,55435,1590,935,700,580,430,1695,1040,1120,455,1600,1190,1425,1410,685,4510,4770,8045,13130,970,1540,2725,1140,470,2170,1115
              Kurdish,1610,65,45,55,15,20,190,70,45,15,20,25,20,35,10,95,200,275,95,40,85,65,75,10,15,35
              Pashto,4575,180,75,40,40,30,45,155,40,15,35,35,0,100,185,1080,545,185,20,115,190,670,185,175,300,155
              Persian (Farsi),49250,1350,820,605,525,380,1460,820,1040,415,1545,1135,1395,1270,495,3335,4030,7585,13015,820,1260,1990,885,290,1855,930
"            Indo-Iranian languages, n.i.e.",900,80,20,30,10,20,80,10,15,15,30,10,20,15,10,35,105,45,60,85,40,65,15,30,15,40
          Italic (Romance) languages,206745,9775,13370,9785,5790,27320,14405,18230,11420,27905,6610,7735,8525,4295,3475,3665,4665,5140,5250,3920,3005,3515,2555,1180,2645,2580
            Catalan,80,0,10,0,10,0,0,0,0,0,15,10,10,0,10,0,0,0,0,10,0,0,0,0,0,0
            Italian,62710,3895,5705,2880,1020,7070,6920,8245,4380,4740,725,2085,2075,555,1165,765,620,1075,1680,1265,1145,1175,1270,420,825,1000
            Portuguese,59370,1060,3065,3030,1900,11805,1555,1265,3010,17710,2620,3420,2520,970,670,580,365,565,685,685,515,415,215,110,325,300
            Romanian,12400,175,825,585,335,165,790,185,750,95,465,290,640,280,185,715,1470,1625,750,505,225,450,310,55,305,225
            Spanish,72050,4620,3760,3285,2515,8235,5125,8525,3280,5345,2780,1930,3270,2485,1440,1600,2215,1870,2130,1450,1120,1465,760,590,1190,1050
"            Italic (Romance) languages, n.i.e.",125,20,10,0,10,45,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0
        Japanese,6830,55,160,245,315,140,110,50,240,305,580,570,385,430,385,285,215,460,745,310,275,115,200,85,125,60
        Kartvelian languages,945,10,50,0,35,0,410,0,30,10,10,10,10,10,0,0,15,10,260,0,15,60,0,0,0,0
          Georgian,950,10,45,0,35,0,410,0,35,0,15,0,10,10,0,0,20,15,265,0,15,65,0,0,0,0
        Korean,33770,390,1690,1995,630,370,1505,335,725,575,1330,1715,1195,1460,365,1515,1095,3955,10470,530,290,360,575,180,315,190
        Mongolic languages,315,0,0,50,10,0,0,0,10,30,10,10,20,60,0,10,0,10,30,0,10,15,0,40,10,0
          Mongolian,315,0,0,50,0,0,0,0,10,30,10,10,15,60,0,0,10,0,30,0,0,20,0,35,10,0
        Niger-Congo languages,14450,2875,390,300,250,1465,475,2950,330,175,300,85,200,655,215,265,570,210,100,235,565,480,165,235,640,310
          Akan (Twi),4815,1320,220,50,50,625,190,1375,65,20,35,10,50,110,40,15,45,35,45,30,105,60,25,75,145,65
          Bamanankan,40,0,0,0,0,10,0,10,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0
          Edo,680,205,15,0,0,90,50,215,10,0,10,10,0,10,0,0,10,0,10,0,30,0,10,0,15,15
          Ewe,140,20,15,0,0,15,10,20,0,0,10,0,10,0,10,0,0,0,0,0,10,0,10,10,0,15
"          Fulah (Pular, Pulaar, Peul, Fulfulde)",125,0,0,10,0,30,0,10,0,0,0,0,0,15,0,0,35,0,10,10,0,0,0,0,0,0
          Ga,225,95,0,15,0,20,10,20,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,10
          Ganda,370,90,10,10,15,35,10,15,0,15,50,10,0,0,15,10,25,0,0,15,15,25,0,20,0,0
          Igbo,790,230,0,10,0,55,60,180,15,15,10,0,0,55,0,10,10,10,0,15,20,25,10,10,25,25
          Lingala,280,40,0,10,0,45,0,10,0,10,10,0,0,35,0,0,10,0,0,10,40,15,0,0,30,15
          Rundi (Kirundi),185,0,0,0,0,0,0,30,15,0,0,0,0,40,0,0,15,0,0,15,10,20,0,0,15,0
          Kinyarwanda (Rwanda),310,0,10,15,10,10,10,15,0,20,35,20,10,30,10,30,0,0,10,15,35,20,10,0,10,10
          Shona,345,20,30,35,0,20,10,10,0,10,15,0,30,25,0,0,65,10,0,10,0,10,20,0,25,10
          Swahili,2385,180,10,50,45,170,55,395,85,35,45,10,45,190,95,160,185,60,20,45,145,95,35,25,135,80
          Wolof,115,0,0,0,15,0,0,30,0,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,10,0
          Yoruba,1620,375,45,25,20,130,45,400,45,10,45,0,0,20,15,10,50,50,20,10,50,55,15,55,95,40
"          Niger-Congo languages, n.i.e.",2020,305,35,80,100,230,30,245,85,40,30,10,50,100,25,30,95,35,10,60,100,120,20,45,115,20
        Nilo-Saharan languages,225,20,10,10,20,15,0,10,0,0,10,20,0,40,0,10,0,0,10,0,20,15,0,0,0,0
          Dinka,35,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"          Nilo-Saharan languages, n.i.e.",190,15,0,0,10,10,0,0,0,0,10,20,10,35,0,0,0,10,15,0,20,15,0,0,0,0
        Sign languages,475,30,10,25,20,35,15,20,10,20,10,35,20,25,25,25,0,25,10,0,20,10,35,15,10,25
          American Sign Language,190,10,0,20,0,0,0,10,10,0,10,15,20,20,10,10,0,15,0,0,0,0,20,0,0,15
          Quebec Sign Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Sign languages, n.i.e",285,20,15,10,25,30,15,10,10,20,10,15,0,0,10,20,0,10,10,0,20,10,10,15,0,10
        Sino-Tibetan languages,249590,1340,2585,4460,4410,2240,2920,3780,3220,5020,12750,10990,3280,8900,10180,7355,5395,29270,24775,4225,5215,8670,42305,38575,4410,3325
          Chinese languages,243955,1290,2530,3100,2255,2025,2820,3560,3190,4745,12690,10975,3215,8730,9925,7320,5370,29185,24770,4130,4995,8625,42275,38535,4405,3305
            Cantonese,115240,710,985,1285,1140,1440,1200,2175,1550,3040,5260,4245,1585,2900,6795,3230,2170,10840,8675,2570,3055,3470,19600,23275,2045,2000
            Hakka,2640,15,10,65,10,15,50,25,45,20,35,65,20,50,90,35,55,155,145,100,50,235,430,745,70,110
            Mandarin,110640,415,1265,1440,950,385,1230,870,1320,1385,6675,5760,1440,5055,2365,3640,2750,16745,14440,1175,1635,4355,19970,12370,2075,930
            Min Dong,375,0,0,0,0,0,0,0,15,0,45,10,0,0,30,0,0,10,0,0,0,10,100,130,0,20
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",6100,75,95,95,75,85,255,300,130,155,270,175,80,205,320,140,125,370,555,120,115,170,930,1085,55,120
            Wu (Shanghainese),2590,15,100,85,40,0,25,0,20,30,140,105,35,95,65,110,110,310,325,10,35,90,465,270,45,55
"            Chinese, n.o.s.",6260,60,75,125,45,85,55,195,110,110,265,595,55,415,255,165,160,710,625,150,105,295,765,665,105,75
"            Chinese languages, n.i.e.",115,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,45,10,15,0,10,20,0,0,0
          Tibeto-Burman languages,5635,50,50,1355,2155,220,105,220,25,275,55,15,65,175,255,40,25,90,10,90,225,50,30,40,0,20
            Burmese,620,10,0,10,25,10,50,10,15,70,20,10,25,20,110,10,10,60,0,15,55,30,25,30,0,0
            Karenic languages,210,20,0,0,0,0,0,170,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tibetan,4545,25,50,1300,2120,210,35,0,10,190,30,10,40,130,70,30,15,20,0,75,145,15,0,15,10,10
"            Tibeto-Burman languages, n.i.e.",255,0,0,55,10,0,15,30,0,0,0,0,0,20,70,0,0,10,0,0,20,0,0,0,0,0
        Tai-Kadai languages,1640,150,25,65,45,55,55,135,95,50,100,125,80,130,70,35,35,40,60,65,40,60,20,20,40,45
          Lao,635,105,10,0,20,40,35,115,40,40,35,20,20,25,25,10,0,10,10,0,10,35,15,10,25,0
          Thai,1000,45,15,60,20,20,20,20,50,15,65,105,55,105,45,25,35,40,55,60,35,30,10,10,20,40
"          Tai-Kadai languages, n.i.e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Turkic languages,10780,325,485,505,235,395,1090,770,540,365,320,370,345,335,215,775,880,670,680,340,180,460,215,70,175,25
          Azerbaijani,930,0,10,25,25,0,165,10,25,0,25,10,15,55,25,75,50,120,240,0,10,15,30,0,10,0
          Turkish,8790,305,350,360,210,355,825,740,505,350,290,355,315,265,195,665,665,480,345,335,120,405,175,25,125,25
          Uyghur,315,20,70,0,0,20,10,0,0,10,0,0,0,0,0,10,100,0,10,0,0,45,10,20,0,0
          Uzbek,495,0,25,105,0,10,70,20,0,0,0,10,0,0,0,15,30,30,60,0,45,0,0,25,45,0
"          Turkic languages, n.i.e.",250,0,35,10,0,0,20,0,10,10,10,0,15,10,0,15,25,40,25,0,10,10,10,0,0,0
        Uralic languages,14670,365,905,735,1085,555,880,520,1120,510,330,460,1030,395,335,730,770,750,665,720,535,350,205,95,315,295
          Estonian,1640,10,35,80,125,10,10,0,95,45,35,35,110,55,70,190,130,65,90,95,80,40,35,30,40,110
          Finnish,1195,40,25,50,55,0,10,20,105,20,40,50,75,45,65,70,85,85,45,80,55,25,40,25,40,40
          Hungarian,11835,320,840,610,905,540,865,495,920,440,250,375,845,290,200,470,555,595,535,545,405,290,125,45,235,150
"          Uralic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Other languages, n.i.e.",525,50,20,40,0,10,15,55,0,0,10,0,0,75,30,35,0,30,0,30,15,10,10,0,45,25
  Multiple responses,103190,5975,3605,3605,3000,4645,4745,4975,3730,3710,4130,2675,3220,3655,2795,3370,4420,4690,4300,3355,4500,5920,4315,4315,5215,4330
    English and French,7435,170,275,400,455,215,175,145,300,370,515,510,465,360,400,225,250,300,180,440,300,250,145,125,260,205
    English and non-official language,90010,5545,3120,3035,2235,4295,4335,4655,3265,3130,3310,1995,2490,3100,2210,2925,3920,4025,3810,2690,4010,5410,3955,3950,4690,3910
    French and non-official language,3200,160,105,80,155,95,160,135,105,120,160,115,145,130,80,160,130,170,165,135,120,110,95,125,125,115
"    English, French and non-official language",2550,105,100,90,160,40,70,45,55,85,140,65,125,65,105,55,110,195,145,85,75,150,125,115,140,100
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Language spoken most often at home for the population in private households - 25% sample data,2691665,116955,116060,127525,106445,115130,103760,107730,112925,107400,114315,100515,104945,99585,105395,101790,93165,109060,117400,108435,108295,110450,104225,97610,101115,101445
  Single responses,2448745,101665,107270,119105,100700,103195,90920,95085,103980,99285,108495,95820,99315,91985,99670,94275,82160,96910,105550,101640,97950,95955,92580,85875,88245,91125
    Official languages,1748710,65135,82435,96200,85935,70760,57755,58140,84155,72525,91495,79305,84790,72785,83260,72160,55040,51200,54770,86260,72705,62140,41990,37280,61195,69310
      English,1732595,64505,82015,95515,85000,70310,57400,57750,83605,71915,90175,78495,84060,71510,82385,71455,54160,50690,54290,85100,72180,61500,41730,37115,60710,69010
      French,16115,630,420,685,930,445,350,385,550,610,1315,810,725,1280,880,705,880,510,480,1155,525,640,260,160,485,295
    Non-official languages,700035,36540,24840,22905,14765,32435,33165,36950,19820,26765,17005,16515,14525,19200,16410,22110,27120,45705,50780,15380,25245,33815,50590,48600,27055,21815
      Aboriginal languages,50,0,0,0,0,10,0,0,0,10,0,0,0,20,15,0,0,0,0,0,0,10,0,0,0,0
        Algonquian languages,25,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cree-Montagnais languages,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Montagnais (Innu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Moose Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Northern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Plains Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Southern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Swampy Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Woods Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"            Cree, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0
          Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Malecite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway-Potawatomi languages,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
            Algonquin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Ojibway,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Ottawa (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
